user_id,amount,ts,label
44,245.35,2026-01-01 00:00:00,1
386,573.91,2026-01-01 01:00:00,1
327,213.38,2026-01-01 02:00:00,1
219,493.48,2026-01-01 03:00:00,1
216,238.17,2026-01-01 04:00:00,1
429,662.28,2026-01-01 05:00:00,0
42,48.04,2026-01-01 06:00:00,0
348,102.43,2026-01-01 07:00:00,1
100,294.99,2026-01-01 08:00:00,1
47,182.82,2026-01-01 09:00:00,1
263,232.04,2026-01-01 10:00:00,1
487,535.12,2026-01-01 11:00:00,1
367,227.9,2026-01-01 12:00:00,0
380,425.32,2026-01-01 13:00:00,0
358,149.62,2026-01-01 14:00:00,0
393,35.82,2026-01-01 15:00:00,1
256,571.38,2026-01-01 16:00:00,1
64,1056.74,2026-01-01 17:00:00,0
419,392.69,2026-01-01 18:00:00,0
225,308.1,2026-01-01 19:00:00,0
250,361.76,2026-01-01 20:00:00,1
185,830.61,2026-01-01 21:00:00,0
91,396.26,2026-01-01 22:00:00,1
463,591.27,2026-01-01 23:00:00,0
390,572.79,2026-01-02 00:00:00,0
321,701.69,2026-01-02 01:00:00,1
201,302.79,2026-01-02 02:00:00,1
411,210.9,2026-01-02 03:00:00,1
272,497.5,2026-01-02 04:00:00,0
221,667.49,2026-01-02 05:00:00,0
225,756.97,2026-01-02 06:00:00,0
113,900.82,2026-01-02 07:00:00,1
46,625.96,2026-01-02 08:00:00,0
277,200.91,2026-01-02 09:00:00,1
443,392.33,2026-01-02 10:00:00,0
31,366.31,2026-01-02 11:00:00,1
429,336.18,2026-01-02 12:00:00,0
413,498.23,2026-01-02 13:00:00,1
138,280.79,2026-01-02 14:00:00,1
315,281.12,2026-01-02 15:00:00,0
82,1099.95,2026-01-02 16:00:00,1
379,315.58,2026-01-02 17:00:00,0
350,698.17,2026-01-02 18:00:00,1
177,726.4,2026-01-02 19:00:00,1
33,400.59,2026-01-02 20:00:00,0
485,290.17,2026-01-02 21:00:00,0
222,155.39,2026-01-02 22:00:00,0
446,65.45,2026-01-02 23:00:00,1
338,524.33,2026-01-03 00:00:00,0
389,450.08,2026-01-03 01:00:00,1
379,580.8,2026-01-03 02:00:00,1
97,222.72,2026-01-03 03:00:00,1
181,1174.6,2026-01-03 04:00:00,1
233,479.75,2026-01-03 05:00:00,0
248,306.16,2026-01-03 06:00:00,1
21,32.8,2026-01-03 07:00:00,1
273,244.52,2026-01-03 08:00:00,0
77,600.5,2026-01-03 09:00:00,1
371,885.1,2026-01-03 10:00:00,0
341,345.37,2026-01-03 11:00:00,0
461,983.74,2026-01-03 12:00:00,1
372,144.54,2026-01-03 13:00:00,0
183,460.18,2026-01-03 14:00:00,1
483,469.8,2026-01-03 15:00:00,0
205,527.37,2026-01-03 16:00:00,1
162,382.83,2026-01-03 17:00:00,0
452,441.79,2026-01-03 18:00:00,1
185,141.28,2026-01-03 19:00:00,1
38,828.06,2026-01-03 20:00:00,1
234,650.94,2026-01-03 21:00:00,1
397,428.99,2026-01-03 22:00:00,1
94,661.63,2026-01-03 23:00:00,0
231,846.1,2026-01-04 00:00:00,1
64,521.87,2026-01-04 01:00:00,1
343,1259.07,2026-01-04 02:00:00,0
237,553.4,2026-01-04 03:00:00,0
165,162.84,2026-01-04 04:00:00,1
113,413.03,2026-01-04 05:00:00,0
282,679.71,2026-01-04 06:00:00,1
334,846.65,2026-01-04 07:00:00,0
470,389.03,2026-01-04 08:00:00,1
218,151.15,2026-01-04 09:00:00,1
80,285.13,2026-01-04 10:00:00,1
416,94.26,2026-01-04 11:00:00,1
314,594.46,2026-01-04 12:00:00,1
350,241.97,2026-01-04 13:00:00,1
48,186.96,2026-01-04 14:00:00,0
156,635.88,2026-01-04 15:00:00,1
383,970.51,2026-01-04 16:00:00,1
416,186.24,2026-01-04 17:00:00,0
217,390.97,2026-01-04 18:00:00,0
402,294.86,2026-01-04 19:00:00,1
420,873.31,2026-01-04 20:00:00,1
193,322.5,2026-01-04 21:00:00,0
449,138.03,2026-01-04 22:00:00,0
144,334.71,2026-01-04 23:00:00,0
119,752.38,2026-01-05 00:00:00,1
341,281.09,2026-01-05 01:00:00,1
318,203.92,2026-01-05 02:00:00,0
69,311.15,2026-01-05 03:00:00,0
416,142.29,2026-01-05 04:00:00,0
99,294.55,2026-01-05 05:00:00,0
402,217.52,2026-01-05 06:00:00,1
3,1411.37,2026-01-05 07:00:00,0
398,44.21,2026-01-05 08:00:00,1
393,162.18,2026-01-05 09:00:00,0
390,203.78,2026-01-05 10:00:00,0
332,143.21,2026-01-05 11:00:00,1
235,463.49,2026-01-05 12:00:00,1
352,183.28,2026-01-05 13:00:00,0
138,83.78,2026-01-05 14:00:00,1
390,364.96,2026-01-05 15:00:00,1
277,268.06,2026-01-05 16:00:00,0
229,191.07,2026-01-05 17:00:00,1
252,858.56,2026-01-05 18:00:00,1
284,474.96,2026-01-05 19:00:00,1
18,436.89,2026-01-05 20:00:00,0
69,482.67,2026-01-05 21:00:00,0
122,464.83,2026-01-05 22:00:00,1
57,279.33,2026-01-05 23:00:00,1
219,185.01,2026-01-06 00:00:00,1
334,371.13,2026-01-06 01:00:00,0
327,275.18,2026-01-06 02:00:00,1
235,43.42,2026-01-06 03:00:00,0
427,131.56,2026-01-06 04:00:00,0
282,247.54,2026-01-06 05:00:00,1
39,645.45,2026-01-06 06:00:00,1
382,372.37,2026-01-06 07:00:00,0
287,156.63,2026-01-06 08:00:00,0
317,120.76,2026-01-06 09:00:00,1
282,742.96,2026-01-06 10:00:00,1
276,289.87,2026-01-06 11:00:00,0
45,5.94,2026-01-06 12:00:00,1
279,304.91,2026-01-06 13:00:00,1
397,551.06,2026-01-06 14:00:00,1
151,117.1,2026-01-06 15:00:00,1
301,351.08,2026-01-06 16:00:00,0
15,376.91,2026-01-06 17:00:00,1
173,124.2,2026-01-06 18:00:00,1
218,789.63,2026-01-06 19:00:00,0
491,381.9,2026-01-06 20:00:00,0
107,246.49,2026-01-06 21:00:00,0
138,291.44,2026-01-06 22:00:00,1
204,101.85,2026-01-06 23:00:00,1
496,97.52,2026-01-07 00:00:00,0
426,227.64,2026-01-07 01:00:00,1
17,239.78,2026-01-07 02:00:00,0
116,276.23,2026-01-07 03:00:00,0
410,837.43,2026-01-07 04:00:00,0
